Tempo Decorrido; Velocidade; Rotacao; Acelerador; Freio; Hodometro Parcial; Ref, Velo; Max Torque+; Max Torque-; Torque Motor;TempMos1; TempMos2; TempAr; TempMotor; Tensao Bat; Corrente Motor; Tensao Motor;  id; iq; idx; iqx; GPV; GIV; GDV; GPC; GIC; GPF; GIF; FluxoMax; Cod, Falha; Cod, Alarme; Estado de Teste; Ass, Rampa; Controle Cruzeiro;SOC; Corrente Pack; 
8,3;20;1919;;;;;;;;;;;;49,9;;;;;;;;;;;;;;;;;;;;;132,8;
8,4;20,4;1928;;;;;;;;;;;;49,3;;;;;;;;;;;;;;;;;;;;;170;
8,5;19,2;1873;;;;;;;;;;;;50,4;;;;;;;;;;;;;;;;;;;;;102,4;
8,6;19,5;1867;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;123,6;
8,7;19,6;1883;;;;;;;;;;;;49,9;;;;;;;;;;;;;;;;;;;;;132,6;
8,8;18,4;1840;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;69,3;
8,9;18;1794;;;;;;;;;;;;51,1;;;;;;;;;;;;;;;;;;;;;47;
9;18,6;1761;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;64,7;
9,1;18;1763;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;68;
9,2;18,2;1764;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;76,2;
9,3;19;1809;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;78,8;
9,4;19,4;1867;;;;;;;;;;;;50,6;;;;;;;;;;;;;;;;;;;;;77,7;
9,5;20,1;1935;;;;;;;;;;;;50,9;;;;;;;;;;;;;;;;;;;;;67,2;
9,6;19,5;1935;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;-1,7;
9,7;18,3;1847;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;-1,1;
9,8;16,1;1693;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;-1;
9,9;14,4;1528;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;-0,7;
10;10,6;1216;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;-0,2;
10,1;7,5;918;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;-0,1;
10,2;5,4;674;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;0,2;
10,3;3,6;451;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;0,2;
10,4;3,7;385;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;0,2;
10,5;4,3;388;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;2,1;
10,6;4,1;386;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;13,3;
10,7;4,9;431;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;23,5;
10,8;5,8;522;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;27,8;
10,9;7,4;632;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;44;
11;8,6;747;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;39,3;
11,1;8,7;825;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;38,8;
11,2;9,6;892;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;37,9;
11,3;10,3;957;;;;;;;;;;;;51,3;;;;;;;;;;;;;;;;;;;;;51,1;
11,4;11;1036;;;;;;;;;;;;51,2;;;;;;;;;;;;;;;;;;;;;59,9;
11,5;12,1;1110;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;29,4;
11,6;12,8;1183;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;35,6;
11,7;13,6;1257;;;;;;;;;;;;51,6;;;;;;;;;;;;;;;;;;;;;31,4;
11,8;13,7;1308;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;27,2;
11,9;14,3;1353;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;21,4;
12;14,4;1388;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;14,1;
12,1;14,7;1406;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;8,8;
12,2;14,8;1412;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;12,6;
12,3;14,5;1415;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;8,5;
12,4;14,7;1419;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;4,1;
12,5;14,9;1432;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;15,5;
12,6;14,7;1442;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;5,9;
12,7;14,8;1451;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;7,2;
12,8;15,1;1462;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;6,6;
12,9;15,3;1480;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;6,3;
13;15,4;1498;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;7,4;
13,1;15,7;1524;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;7,7;
13,2;15,2;1518;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;-0,4;
13,3;15,3;1525;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;0,2;
13,4;15,1;1519;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;0,7;
13,5;15,6;1507;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;1,7;
13,6;15,6;1508;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;3,7;
13,7;15,2;1507;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;7,1;
13,8;15,7;1514;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;6,3;
13,9;15,7;1519;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;5;
14;16;1536;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;4,5;
14,1;15,7;1531;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;3,3;
14,2;15,1;1510;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;4,2;
14,3;16,2;1519;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;10,7;
14,4;15,1;1490;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;13;
14,5;15,1;1483;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;13,7;
14,6;15,2;1478;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;15,8;
14,7;15,9;1489;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;29,1;
14,8;16;1514;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;26,5;
14,9;16;1527;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;25,7;
15;15,6;1540;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;11,5;
15,1;15,9;1545;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;20,7;
15,2;16,1;1554;;;;;;;;;;;;51,8;;;;;;;;;;;;;;;;;;;;;20,9;
15,3;16,5;1576;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;32,6;
15,4;16,6;1601;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;34,3;
15,5;16,8;1629;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;41,3;
15,6;17,5;1668;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;43,1;
15,7;17,8;1703;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;37,6;
15,8;18,3;1735;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;45,6;
15,9;18,2;1746;;;;;;;;;;;;51,6;;;;;;;;;;;;;;;;;;;;;33,6;
16;18,4;1767;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;47,7;
16,1;18,7;1786;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;48,8;
16,2;18,9;1809;;;;;;;;;;;;51,3;;;;;;;;;;;;;;;;;;;;;50,7;
16,3;19,2;1838;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;49;
16,4;19,1;1839;;;;;;;;;;;;51,5;;;;;;;;;;;;;;;;;;;;;37;
16,5;18,9;1833;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;31,5;
16,6;18,3;1798;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;4,8;
16,7;16,9;1720;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;-0,1;
16,8;16,3;1628;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;-0,1;
16,9;15,1;1534;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;-0,2;
17;14;1428;;;;;;;;;;;;52,1;;;;;;;;;;;;;;;;;;;;;1,9;
17,1;12,3;1302;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;5,7;
17,2;10,9;1142;;;;;;;;;;;;51,9;;;;;;;;;;;;;;;;;;;;;18,5;
17,3;11,5;1118;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;6,9;
17,4;10,2;1066;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;5,9;
17,5;9,8;984;;;;;;;;;;;;51,7;;;;;;;;;;;;;;;;;;;;;27,9;
17,6;10;979;;;;;;;;;;;;51,6;;;;;;;;;;;;;;;;;;;;;37,9;
17,7;10,9;995;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;53,7;
17,8;10,7;1028;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;50,8;
17,9;10,1;1016;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;43,9;
18;10,1;1026;;;;;;;;;;;;51,4;;;;;;;;;;;;;;;;;;;;;46,6;
18,1;12,2;1095;;;;;;;;;;;;50,5;;;;;;;;;;;;;;;;;;;;;107,3;
18,2;13,3;1234;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;95,5;
18,3;14,3;1326;;;;;;;;;;;;50,8;;;;;;;;;;;;;;;;;;;;;85,4;
